@relation Dataset

@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5}

@data
22,40,37,14,12,5,7,-32,2
29,43,36,13,9,10,9,-32,2
19,34,36,16,13,10,5,-31,2
24,39,33,12,6,10,2,-31,2
24,37,34,12,13,5,12,-31,2
22,46,36,15,12,10,6,-31,2
28,44,28,11,10,8,7,-32,2
31,36,22,17,15,6,14,-34,2
26,46,33,22,16,10,5,-34,2
28,50,32,21,6,8,7,-36,2
20,53,28,16,17,8,7,-37,2
22,48,23,13,2,2,0,-36,2
28,53,31,25,12,12,10,-35,2
21,46,24,18,4,8,5,-35,2
25,32,21,14,11,9,8,-36,2
23,38,26,14,10,9,7,-37,2
8,34,25,17,7,11,-4,-36,2
18,26,29,7,5,8,7,-36,2
11,39,29,13,1,9,8,-35,2
16,41,21,16,9,12,13,-34,2
21,47,28,16,5,11,9,-35,2
15,44,26,7,3,1,4,-36,2
31,54,28,11,15,8,10,-36,2
29,51,31,14,16,7,7,-37,2
21,49,34,14,8,8,7,-37,2
28,45,37,6,16,9,3,-36,2
20,37,31,12,9,8,4,-37,2
25,46,30,18,7,5,9,-35,2
24,49,26,19,9,10,9,-36,2
27,51,30,23,10,9,3,-35,2
22,45,29,21,10,7,7,-35,2
22,45,30,19,12,8,6,-35,2
15,11,12,14,8,4,-4,-36,3
19,21,12,15,11,8,1,-37,3
17,21,15,9,5,7,1,-36,3
20,11,20,10,6,8,5,-36,3
16,19,26,18,10,6,11,-36,3
19,24,20,13,7,11,-4,-36,3
13,22,22,13,3,8,6,-36,3
18,9,23,18,4,16,6,-36,3
1,13,17,14,-10,6,-10,-37,3
6,4,13,5,-12,4,-12,-36,3
5,13,17,3,-6,6,-10,-36,3
11,16,30,18,-8,12,-8,-37,3
1,7,21,7,-12,6,-14,-37,3
2,14,20,11,-12,7,-12,-36,3
6,15,18,9,5,4,-5,-37,3
10,15,25,15,6,7,-6,-37,3
10,15,17,11,-3,6,-4,-38,3
-3,15,11,7,-4,8,-2,-37,3
9,13,15,10,-6,4,-8,-37,3
3,16,19,7,-10,2,-7,-38,3
15,14,17,11,-1,3,-16,-37,3
13,10,23,9,-3,6,-8,-37,3
20,27,28,11,14,11,5,-35,3
32,35,33,20,14,12,12,-35,3
33,33,30,22,16,17,11,-36,3
18,27,20,19,7,11,-1,-36,3
22,21,19,14,13,8,0,-36,3
24,24,23,14,11,14,7,-35,3
20,27,19,19,6,6,0,-36,3
20,23,21,9,0,3,0,-37,3
23,24,21,5,7,4,5,-37,3
21,20,21,3,2,7,5,-37,3
18,27,26,5,16,5,1,-37,3
12,20,15,5,-2,-1,5,-38,3
19,26,14,10,9,10,1,-38,3
27,27,20,8,6,9,1,-37,3
19,23,17,1,4,1,11,-37,3
26,33,22,13,9,0,17,-36,3
23,34,22,14,15,7,3,-35,3
32,35,17,7,17,6,18,-34,3
26,37,21,11,17,8,19,-34,3
25,35,15,9,20,6,18,-34,3
16,31,22,9,19,6,15,-34,3
26,24,17,11,12,2,16,-34,3
24,30,14,13,13,6,13,-34,3
33,27,14,8,21,8,13,-35,3
29,29,25,12,18,7,15,-35,3
23,20,12,8,9,1,7,-35,3
25,27,25,9,18,7,11,-34,3
19,25,21,9,18,13,4,-33,3
17,23,14,3,16,11,7,-31,3
18,22,8,5,7,6,7,-28,3
19,21,15,7,9,8,15,-28,3
24,18,10,5,8,7,8,-26,3
38,29,20,11,15,14,14,-27,3
27,26,18,3,12,4,4,-31,3
35,32,23,11,23,8,16,-32,3
27,21,13,5,15,3,20,-33,3
30,21,25,8,22,6,22,-33,3
28,21,13,6,16,4,11,-32,3
28,21,13,1,14,4,15,-32,3
27,23,16,4,17,5,15,-30,3
24,25,20,7,20,7,20,-30,3
24,23,23,7,23,4,18,-30,3
32,31,24,7,24,6,27,-31,3
28,31,25,6,15,6,26,-33,3
22,28,15,4,22,8,9,-34,3
19,19,14,2,9,1,8,-35,3
23,18,17,3,12,2,16,-36,3
22,23,9,9,7,6,8,-36,3
22,24,14,9,11,3,12,-35,3
22,25,19,8,8,4,5,-36,3
23,20,11,8,5,3,11,-36,3
30,23,14,5,6,6,13,-36,3
28,25,17,8,13,9,10,-35,3
15,24,17,12,11,5,12,-35,3
13,16,17,11,14,8,10,-34,3
23,22,15,7,9,8,21,-32,3
19,20,14,7,7,8,12,-31,3
21,18,12,8,15,3,12,-31,3
26,16,18,4,11,10,13,-32,3
19,19,16,11,15,8,16,-32,3
16,16,12,6,8,3,4,-31,3
18,18,18,11,9,7,18,-32,3
18,18,22,11,5,6,18,-32,3
23,15,21,11,8,5,16,-35,3
19,21,15,7,15,4,5,-36,3
21,15,17,10,4,6,15,-37,3
17,22,19,11,8,8,1,-36,3
11,30,18,7,6,3,1,-34,3
17,27,20,11,7,7,12,-34,3
20,31,24,13,13,13,2,-33,3
19,31,16,15,-2,7,4,-32,3
24,26,21,12,10,7,5,-33,3
19,26,26,14,7,12,7,-34,3
14,26,19,11,10,7,4,-32,3
18,25,18,16,-14,7,4,-33,3
-10,23,14,7,2,7,7,-33,3
21,26,21,12,16,14,18,-34,3
14,15,19,15,13,12,6,-34,3
18,18,20,9,3,3,6,-34,3
21,18,19,11,0,8,-1,-34,3
14,20,23,11,4,8,-5,-34,3
10,12,19,10,3,9,5,-35,3
6,18,17,6,3,1,0,-35,3
7,20,14,10,5,5,-3,-36,3
10,27,25,9,-8,9,-6,-35,3
11,23,17,9,-6,6,-3,-36,3
14,14,18,11,-2,4,-10,-36,3
16,22,17,9,-14,2,-7,-37,3
3,13,18,15,1,4,-9,-37,3
19,20,20,9,2,8,-4,-37,3
22,27,24,14,1,7,-7,-37,3
20,17,25,14,-2,9,-9,-36,3
11,7,17,8,-7,10,-1,-35,3
9,13,23,6,-1,6,-8,-36,3
19,18,14,16,8,9,-2,-35,3
13,17,15,6,8,8,-6,-34,3
3,17,13,12,4,4,-3,-35,3
20,15,15,14,10,10,2,-35,3
14,25,9,19,11,8,0,-35,3
22,25,23,14,14,8,-3,-35,3
22,25,20,12,10,8,9,-36,3
24,33,26,12,14,11,-1,-35,3
18,23,25,7,7,5,-2,-36,3
22,23,17,8,2,7,6,-36,3
20,17,22,5,6,6,7,-36,3
22,24,18,7,11,7,6,-35,3
29,30,29,8,10,8,10,-35,3
24,29,26,13,15,6,10,-35,3
30,39,21,16,11,9,8,-35,3
27,35,26,12,20,7,11,-34,3
30,25,15,10,17,5,23,-34,3
27,26,20,13,15,5,9,-34,3
28,27,21,6,15,6,16,-34,3
29,34,21,6,19,6,11,-34,3
27,31,15,12,17,1,15,-35,3
25,28,25,8,18,5,11,-35,3
25,28,21,7,16,4,10,-37,3
28,32,19,15,17,7,18,-39,3
31,28,18,2,11,5,15,-38,3
24,23,15,8,12,2,18,-39,3
27,27,17,7,20,6,14,-35,3
27,28,23,9,20,5,13,-32,3
26,23,19,6,21,2,16,-30,3
23,23,17,9,26,6,19,-30,3
31,24,13,10,17,4,13,-31,3
29,30,23,17,23,7,19,-31,3
27,22,20,14,24,5,22,-32,3
30,29,24,16,17,6,21,-34,3
27,31,21,16,23,10,21,-35,3
23,24,13,10,5,1,20,-36,3
21,24,10,10,4,5,8,-36,3
22,23,9,10,10,5,7,-36,3
23,26,11,10,9,5,4,-36,3
26,12,12,5,4,4,11,-37,3
29,24,17,7,7,3,8,-36,3
31,26,16,12,12,9,5,-36,3
22,23,22,10,7,9,17,-35,3
23,27,15,11,7,14,14,-34,3
17,22,12,8,10,2,13,-34,3
21,14,17,3,10,3,14,-33,3
21,22,14,11,13,7,14,-31,3
21,22,21,11,6,8,14,-27,3
20,22,12,11,3,9,10,-24,3
15,12,4,2,5,6,0,-25,3
16,19,19,9,9,6,9,-25,3
11,21,10,3,8,5,8,-24,3
7,22,8,3,0,3,2,-25,3
14,30,19,9,4,6,8,-27,3
14,29,18,18,6,10,9,-29,3
9,25,14,17,8,6,-5,-30,3
15,31,18,13,1,8,1,-34,3
4,25,10,12,2,8,-12,-34,3
17,30,21,16,0,11,8,-35,3
11,26,14,16,0,10,5,-36,3
14,23,17,12,2,14,5,-37,3
21,23,19,16,6,11,5,-37,3
16,24,17,16,8,6,0,-38,3
7,21,22,5,-4,4,0,-38,3
12,17,23,14,1,7,-6,-39,3
12,18,21,9,-3,3,1,-38,3
10,16,20,8,2,2,2,-37,3
4,20,14,8,2,8,-5,-36,3
