@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-8,-3,-6,4,2,-3,-22,28,-19,2
-7,-12,-17,-11,-6,-10,-36,23,-20,2
-15,-10,4,-4,8,-4,-31,23,-26,2
-3,-1,5,11,2,5,-21,25,-25,2
-2,5,12,14,17,3,-18,24,-12,2
5,1,17,16,13,11,-16,24,-26,2
5,12,8,17,19,12,-15,24,-19,2
-8,-7,-1,8,0,5,-20,24,-27,2
4,6,-14,5,4,2,-12,23,-23,2
-3,-4,12,13,1,0,-22,24,-27,2
0,-14,-9,-3,-7,8,-23,26,-25,2
-6,-10,2,3,-7,2,-17,22,-26,2
-10,-10,-8,6,5,6,-15,24,-27,2
5,0,5,15,17,10,-19,25,-25,2
-8,-4,-11,13,5,0,-16,24,-25,2
-6,-4,6,8,7,3,-24,25,-18,2
7,-1,15,14,9,7,-15,24,-21,2
-2,-9,4,-4,11,1,-26,24,-19,2
-6,-9,-3,5,8,2,-21,23,-12,2
11,1,21,13,7,9,-10,21,-26,2
6,0,-6,7,8,1,-21,23,-22,2
-2,-4,-8,6,11,4,-20,26,-21,2
-2,-4,2,10,9,64,-23,25,-17,2
-2,4,13,6,5,7,-22,22,-21,2
3,-5,-8,-4,7,-7,-23,23,-26,2
-6,-5,12,7,3,-4,-27,24,-26,2
-14,-12,-19,-4,-8,-9,-34,26,-13,2
-5,-13,3,7,11,-1,-27,24,-12,2
2,-1,-5,2,13,5,-17,19,-26,2
8,-1,13,9,8,10,-14,22,-13,2
-13,-11,-5,5,9,-1,-21,21,-27,2
0,-7,10,10,2,5,-19,24,-24,2
-12,-10,-14,-10,-2,-6,-32,24,-25,2
-2,-2,14,14,13,1,-17,22,-26,2
3,-5,16,7,6,8,-19,21,-23,2
-4,-4,9,4,8,-2,-17,28,-13,2
-4,-14,13,2,-1,-6,-24,28,-13,2
-5,-13,2,7,-29,-1,-29,24,-12,2
3,-9,-10,5,6,6,-19,22,-28,2
-1,-5,-2,0,14,0,-25,22,-26,2
-13,-10,-2,11,5,-7,-23,23,-26,2
-2,-3,2,4,7,1,-24,21,-26,2
-13,2,-10,2,4,2,-25,22,-18,2
-6,-2,14,13,5,4,-18,22,-26,2
-5,-14,-6,11,-1,12,-21,24,-25,2
-2,-1,6,11,12,12,-14,23,-16,2
0,5,26,8,9,2,-13,21,-25,2
4,3,16,12,16,9,-8,27,-26,2
-4,-2,-9,6,0,2,-28,16,-27,2
8,-3,11,11,14,9,-10,23,-12,2
-10,-14,-24,-10,-1,-7,-34,27,-19,2
2,4,20,4,9,1,-16,22,-25,2
-85,-63,-65,-51,-57,0,-76,17,-20,2
3,5,3,13,15,15,-21,24,-26,2
0,1,1,16,7,1,-12,23,-25,2
-1,-4,10,14,4,5,-17,22,-24,2
7,-2,-8,10,4,4,-14,24,-25,2
3,-5,-6,8,0,3,-21,26,-23,2
1,-2,5,14,8,5,-18,25,-25,2
-6,-3,2,11,7,6,-25,23,-11,2
0,-5,-10,6,-5,0,-23,24,-13,2
2,-1,-2,1,5,-1,-16,25,-13,2
-9,-5,10,2,19,9,-16,23,-15,2
8,-6,-10,9,5,15,-14,25,-25,2
3,-5,15,7,10,5,-19,24,-24,2
-4,-5,-11,-1,5,2,-26,26,-26,2
-13,-18,-10,-2,4,1,-21,23,-24,2
8,-6,-11,7,5,-2,-16,25,-25,2
-3,-3,-2,11,2,6,-21,24,-17,2
-1,-9,8,1,5,-6,-22,23,-21,2
12,4,11,5,18,4,-14,23,-18,2
-2,2,12,8,11,5,-15,22,-23,2
3,-6,3,8,6,9,-20,19,-12,2
10,0,14,15,15,8,-12,23,-24,2
2,-2,2,-2,4,1,-15,25,-13,2
-8,-3,-17,-8,-3,3,-33,26,-19,2
-1,-3,15,11,3,8,-18,24,-27,2
