zone,temp,light,presure,humidity,gravityX,gravityY,gravityZ,magX,magY,magZ,gravityMagnitude,magMagnitude,magEarthY,magEarthZ,latitude,longitude,rss0,rss1,rss2,rss3,rss4,rss5,rss6,rss7,rss8,rss9
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.698584,48.83445,19.820593,-44.631233,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.828117,48.834438,21.424955,-43.883636,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.828117,49.031532,21.392654,-44.118538,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.720104,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.828117,49.031532,21.392654,-44.118538,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.720104,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.066036,49.031532,20.713181,-44.441597,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.720104,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.066036,49.180862,20.507156,-44.701389,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.790077,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.066036,49.180862,20.507156,-44.701389,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.790077,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.995828,49.180866,19.334583,-45.220917,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.790077,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.995828,49.197678,18.992771,-45.38377,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.790077,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.879132,49.197678,20.200546,-44.859222,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.790077,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.879132,49.352547,19.348612,-45.401592,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.790077,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.690061,49.352539,19.824017,-45.196033,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,28.342558,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.690061,49.352539,19.824017,-45.196033,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,28.342558,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.690061,49.341125,19.150896,-45.472965,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,28.342558,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.297027,49.341129,20.096596,-45.063004,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,28.342558,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.297027,49.396301,19.569286,-45.354584,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,28.342558,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.131279,49.396313,20.227829,-45.064739,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.756918,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.131279,49.396313,20.227829,-45.064739,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.756918,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.131279,49.293945,19.855923,-45.118015,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,27.756918,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.368027,49.293938,20.718966,-44.728256,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,26.067688,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.368027,49.293938,20.718966,-44.728256,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,26.067688,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.368027,49.447174,21.593857,-44.482906,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,26.067688,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.255386,49.447174,22.089052,-44.239094,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,23.050766,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.255386,49.447174,22.089052,-44.239094,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,23.050766,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.255386,49.543568,23.509874,-43.610214,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,23.050766,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.999936,49.543571,21.955795,-44.41293,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.999936,49.543571,21.955795,-44.41293,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.999936,49.56337,23.336098,-43.725895,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.145625,49.563374,22.243879,-44.291504,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.145625,49.884388,24.294117,-43.568878,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.163357,49.88438,22.822828,-44.357296,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.163357,49.621506,24.044273,-43.40699,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.03778,49.621506,23.865795,-43.505379,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.03778,49.353554,24.405445,-42.89695,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.150648,49.353561,25.193289,-42.439045,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.150648,49.232307,25.527012,-42.097408,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.109398,49.232315,25.840815,-41.905525,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.109398,48.991772,25.900309,-41.585663,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.871783,48.991764,24.949593,-42.162907,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.871783,48.813248,25.281609,-41.756123,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.123192,48.813251,24.526911,-42.203838,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,20.038074,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.123192,48.432625,24.056581,-42.035702,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.123192,48.432625,24.056581,-42.035702,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.037892,48.432625,24.627865,-41.703568,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.037892,47.815392,23.856907,-41.438622,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.829303,47.815384,22.499481,-42.191048,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.829303,47.231079,21.837835,-41.879395,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.935328,47.231079,22.001488,-41.793652,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.528557,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.935328,46.994987,22.165829,-41.439171,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.396418,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.935328,46.994987,22.165829,-41.439171,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.396418,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.101043,46.99498,22.569134,-41.220901,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.396418,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.101043,47.086891,23.211563,-40.968266,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.396418,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.050392,47.086887,23.063982,-41.051529,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.396418,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.050392,47.196495,23.786865,-40.763885,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,15.396418,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.21523,47.196495,24.116735,-40.569603,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,14.547314,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.21523,47.196495,24.116735,-40.569603,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
